,name,regulator,imodulon_size,enrichment_category,system_category,functional_category,function,exp_var
0,Resistance,,53,Biological,Stress Responses,Envelope Stress,Multidrug resistance; stress response to harmful compounds/antibiotics,0.004991449
1,SSW SNPs,,80,Genomic,Genetic Alterations,ALE Effects,Unknown,0.002147987
2,cspH,,1,Biological,Single Gene,Envelope Stress,#N/A,0.000873497
3,Galactose,GalR,10,Regulatory,Metabolism,Carbon Metabolism,Galactose transport and catabolism,0.00106727
4,NtrC-1,NtrC,20,Regulatory,Metabolism,Nitrogen Metabolism,"Nitrogen assimilation, ammonium transport",0.005072655
5,ROS TALE Amp,,10,Genomic,ALE Effects,Unknown,Amplification of DLP12/IS3,0.003605538
6,crp KO-1,,22,Genomic,Genetic Alterations,Carbon Metabolism,crp KO and compensatory regulatory changes,0.005648233
7,cyoB/kdpE/qseB KO,HprR,8,Genomic,Genetic Alterations,Energy Metabolism,cyoB/kdpE/qseF KO,0.001491565
8,Rhamnose,RhaS,8,Regulatory,Metabolism,Carbon Metabolism,Rhamnose transport and catabolism,0.004619894
9,IS1,,10,Genomic,Unknown,Unknown,IS1 transcripts,0.001750597
10,FlhDC-1,FlhDC,27,Regulatory,Stress Responses,Extracellular Structures,Flagellum biosynthesis and export,0.003088196
11,Nucleoside,CytR,12,Regulatory,Metabolism,Nucleotide Metabolism,Transport and utilization of ribonucleosides and deoxyribonucleosides,0.001231272
12,12,,15,Biological,Unknown,Unknown,Unknown,0.002348398
13,Molybdenum,,5,Regulatory,Stress Responses,Metal Homeostasis,Molybdenum transport and molybdoenzyme synthesis,0.000626698
14,ykgR,,1,Technical,Single Gene,Unknown,Unknown,0.001169895
15,Lysine/T2SS,ArgP,25,Regulatory,Metabolism,Amino Acid Metabolism,Lysine transport and biosynthesis; type II secretion system,0.001961247
16,EvgA,EvgA,15,Regulatory,Stress Responses,Envelope Stress,"Glutamate-dependent acid response, drug resistance, alkali metals response",0.002024684
17,ryhB,ryhB,6,Regulatory,Metabolism,Carbon Metabolism,Succinate production,0.005096292
18,ppGpp-1,RelB,46,Unknown,Unknown,Unknown,Unknown,0.010963675
19,cyoB/ndh/nuoB KO-1,,3,Genomic,Genetic Alterations,Energy Metabolism,NDH-1 (nuoB) KO and compensatory NDH-2 (ndh) up-regulation,0.000597016
20,dicC,,2,Biological,Unknown,Unknown,Unknown,0.00060412
21,Hot TALE 16,,8,Genomic,ALE Effects,Unknown,Regulatory changes under high temperature,0.000683494
22,thrA KO,Thr-tRNA,4,Genomic,Genetic Alterations,Amino Acid Metabolism,thrA KO and compensatory transcriptional changes,0.001314505
23,23,,13,Biological,Unknown,Unknown,Unknown,0.00115684
24,trxC Del,,3,Genomic,ALE Effects,Unknown,Unknown,0.000828533
25,DhaR,Mlc,10,Regulatory,Metabolism,Carbon Metabolism,Dihydroxyacetone transport and catabolism; phosphotransferase activity for DhaM phosphorylation,0.001099945
26,Membrane,,30,Biological,Stress Responses,Envelope Stress,"Membrane-related stress response regulators, transporters, multidrug resistance",0.004511613
27,pgi KO,,4,Genomic,Genetic Alterations,Carbon Metabolism,pgi KO,0.000879562
28,Sulfoquinovose,CsqR,11,Regulatory,Metabolism,Carbon Metabolism,Sulfoquinovose transport and catabolism,0.001079225
29,yceO,,1,Technical,Single Gene,Unknown,Unknown,0.00024574
30,arcA/luxS KO,,2,Genomic,Genetic Alterations,Energy Metabolism,arcA KO,0.000261151
31,Thiamine-1,Thiamine diphosphate,9,Regulatory,Metabolism,Cofactor Metabolism,Thiamine uptake and biosynthesis,0.008265226
32,Phosphate-1,PhoB,8,Regulatory,Metabolism,Phosphate Metabolism,"Inorganic phosphate sensing, transport, and production",0.000790956
33,rcsB KO,GadX,9,Genomic,Genetic Alterations,Envelope Stress,rcsB KO and associated regulatory changes,0.004074469
34,ymiB,,1,Technical,Single Gene,Unknown,Unknown,0.000232674
35,ypaB,,1,Technical,Single Gene,Unknown,Unknown,0.000396317
36,OxyR,OxyR,35,Regulatory,Stress Responses,Redox Stress,"Oxidative stress response, especially peroxide",0.001601887
37,Cysteine-1,CysB,29,Regulatory,Metabolism,Amino Acid Metabolism,"Cysteine biosynthesis, sulfate assimilation",0.006725748
38,Quorum Sensing,LsrR,9,Regulatory,Stress Responses,Quorum Sensing,"Quorum sensing via autoinducer 2, biofilm architecture, foreign DNA stress response; lsrR KO",0.002310992
39,PAL 26 Del,,39,Genomic,ALE Effects,Unknown,Unknown,0.001428525
40,Cra,Cra,16,Regulatory,Metabolism,Carbon Metabolism,Central carbon metabolism; glycolytic flux-dependent regulation via fructose sensing,0.003560436
41,yniD,,1,Biological,Single Gene,Unknown,#N/A,0.000723063
42,Fnr-3,Fnr,29,Regulatory,Metabolism,Energy Metabolism,Anaerobic growth,0.012002951
43,Phage Shock,PspF,5,Regulatory,Stress Responses,Phage Shock,Phage shock response; response to filamentous phage infection and/or extracytoplasmic shock,0.002444365
44,essQ,,1,Biological,Single Gene,Unknown,#N/A,0.001102164
45,Phosphate-2,PhoB,20,Regulatory,Metabolism,Phosphate Metabolism,"Inorganic phosphate sensing, transport, and production",0.000730099
46,Leu/Val/Ile,Ile-tRNA,9,Regulatory,Metabolism,Amino Acid Metabolism,Branched-chain amino acid biosynthesis,0.001986332
47,ymgJ,,1,Biological,Single Gene,Unknown,#N/A,0.000454659
48,LPS,gcvB,33,Biological,Stress Responses,Extracellular Structures,Lipopolysaccharide biosynthesis and export,0.0054978
49,Isc System,ryhB,11,Regulatory,Metabolism,Cofactor Metabolism,Iron-sulfur cluster biogenesis and insertion,0.001610491
50,ydfB,,1,Technical,Single Gene,Unknown,Unknown,0.000395182
51,UC-1,,30,Unknown,Unknown,Unknown,Unknown,0.005206783
52,yoaG,,2,Biological,Unknown,Unknown,Unknown,0.00069947
53,Magnesium,PhoP,24,Regulatory,Stress Responses,Metal Homeostasis,Magnesium sensing and transport; magnesium-limitation response,0.001064624
54,icdC,,1,Biological,Single Gene,Unknown,Unknown,0.000730082
55,Fur-1,Fur,27,Regulatory,Stress Responses,Metal Homeostasis,"Iron sensing and uptake, enterobactin biosynthesis, iron-sulfur cluster activation, iron sequestration",0.00913328
56,Tryptophanase,L-tryptophan,2,Regulatory,Metabolism,Amino Acid Metabolism,Tryptophan import and catabolism via tryptophanase; indole/pyruvate biosynthesis,0.002518683
57,Fnr-1,Fnr,34,Regulatory,Metabolism,Energy Metabolism,Transition from aerobic to anaerobic growth; anaerobic reductase and hydrogenase activity,0.006697441
58,ythA,,1,Technical,Single Gene,Unknown,Unknown,0.000278103
59,Acetate,,12,Biological,Metabolism,Carbon Metabolism,Acetate uptake and catabolism; aldehyde catabolism; acetate/ethanol detoxification at stationary phase,0.006872792
