"","GlcM9_N_12h_Rep1","GlcM9_N_12h_Rep2","GlcM9_12h_Rep1","GlcM9_12h_Rep2","GlcM9_S_12h_Rep1","GlcM9_S_12h_Rep2","GlcM9_N_24h_Rep1","GlcM9_N_24h_Rep2","GlcM9_24h_Rep1","GlcM9_24h_Rep2","GlcM9_S_24h_Rep1","GlcM9_S_24h_Rep2","GlcM9_N_3h_Rep1","GlcM9_N_3h_Rep2","GlcM9_3h_Rep1","GlcM9_3h_Rep2","GlcM9_S_3h_Rep1","GlcM9_S_3h_Rep2","GlcM9_N_4h_Rep1","GlcM9_N_4h_Rep2","GlcM9_4h_Rep1","GlcM9_4h_Rep2","GlcM9_S_4h_Rep1","GlcM9_S_4h_Rep2","GlcM9_N_5h_Rep1","GlcM9_N_5h_Rep2","GlcM9_5h_Rep1","GlcM9_5h_Rep2","GlcM9_S_5h_Rep1","GlcM9_S_5h_Rep2","GlcM9_N_8h_Rep1","GlcM9_N_8h_Rep2","GlcM9_8h_Rep1","GlcM9_8h_Rep2","GlcM9_S_8h_Rep1","GlcM9_S_8h_Rep2"
"b0001",127.017919603426,248.338643290096,113.559599535677,93.361015003303,215.481858733465,180.769116288659,124.868785884335,203.437224609802,156.316258160415,307.75498204826,108.434147569566,70.7015741438567,74.5890438553321,30.5562687442729,53.5533194207227,46.1156664082619,10.7682723512581,68.0558867388984,27.4843949217452,42.7928830852092,76.2448736604292,75.4868191054074,24.2469778438648,38.4188807882975,175.983830358662,150.839003029292,31.843484976917,54.2330074217502,324.199326364843,160.641653047361,176.289545562774,128.867439760155,20.9129336933599,60.7411158185901,103.077934644582,115.719988891791
"b0002",37.4163311602355,108.630628302539,53.9563339899092,29.405814824329,150.904292686145,126.961030131743,58.2064609525774,183.240052909245,49.1841565999867,21.9386147368775,188.08931201372,17.3023738671857,2463.57763517203,2631.65037821178,1569.9758352819,2651.15413063444,115.658412246772,688.072516642378,26.0636056347496,31.6355158664372,3202.02258378274,3529.45301350127,108.640149961411,198.748323331263,22.3743920858991,33.5581164502152,41.9948881625372,22.1201998615499,234.96322208302,114.265443827971,38.0895870096472,90.2891446512203,22.6324792965559,21.5984424692102,164.667418930493,173.444783134214
"b0003",51.6321950136697,89.072211458439,88.3212888984227,61.3910314573825,54.2469985765511,61.3578360453332,84.4554559774442,134.381467915655,90.7740481516836,45.3466163721784,75.8400502139387,54.340074957614,1221.00827314959,1306.63854169315,791.117462331979,1214.82991484219,68.555502643114,432.575936255233,49.7823609302596,62.7375050531215,1658.83260459394,1803.19745295583,70.9265926960258,70.7362619510446,50.4964309808581,49.6752741628977,273.732370055857,185.241765508339,56.6439809310042,58.6653184965641,55.7109244484938,65.9422323797682,126.315015136746,87.4798132366731,75.5268959796375,73.4522698941987
"b0004",58.6397751895864,73.5777839642576,63.1139307488042,54.6357647971581,90.0955585956074,95.1803756704696,62.1712488725356,94.8017993175528,87.5089019914595,45.4309278728704,94.9500357923461,74.6067853155116,1414.13800645578,1514.61245430549,967.590952908472,1567.01827653549,91.0245071617412,658.598842045689,81.6716506316884,90.1541057854931,1762.37225827864,1901.96094981451,98.521126934427,74.4440386082248,60.122392606794,58.6699630112699,154.878502824454,98.3054233311957,77.8100314230609,76.5366543254482,60.4746829540923,82.6766001980914,74.4097768089518,56.8740572028102,99.9625023918481,79.5316279763549
"b0005",11.8990500747058,13.3517347610739,24.1880743624207,15.7429228319328,10.9691917450744,8.92157285333617,14.0372628427021,20.9638191467315,20.0828174434281,22.4410489358608,18.2846171656734,9.08342371550988,30.18603586897,32.0601566914184,18.4621175005221,29.5097411012084,7.26316356578147,13.115276351408,25.4899316996555,22.85039436555,33.2762368067921,35.4866346069045,3.02861207222025,7.19816838035776,21.3874780229101,6.93684554809817,25.0580443861981,10.3174306840036,5.05181354459139,8.20850423594662,12.8547791250199,10.6236356938741,31.0325479167912,12.6060550124281,7.44918439485653,7.88411557428307
"b0006",76.5699283984665,92.5198147699465,23.6768154355943,26.8002913677005,51.4691959709437,56.194951317272,69.897630144766,86.1383192890473,53.2056990837352,39.3968286266879,69.2580143484705,32.1831072902352,126.328402039472,117.538209419915,123.291947975712,141.748451384224,63.9867905910877,104.867423345786,73.965876436252,83.839398512378,104.670964089854,117.900744049127,56.6109102815628,61.2084868086051,63.4889209433302,63.1785938722246,13.2544754306233,17.2447450927772,57.4975414520662,48.1052110711761,62.7785774878063,72.875807086302,9.72532057873731,25.7522152096217,65.6255910570009,64.3234385555326
"b0007",8.66669638821097,14.9028822098274,4.75391002172654,12.012407132932,22.446500146869,15.2652486469405,15.4404289808094,6.74217291755598,5.92059783335702,8.56165717082771,12.472072431986,18.4300891099259,9.77158144361753,13.9788765142949,22.2166494114553,12.7799056188345,20.9086461401349,9.89369921690539,13.82376776703,14.3906758105594,14.4791345272825,8.99017728807417,20.7984435183059,10.1860114566739,9.34656686224662,9.14255574798228,8.69098839279217,13.0775660891833,10.9634030176617,21.5232483974388,11.8149663349956,10.4509813809213,11.5459255432754,8.7444236352504,18.6021532095021,15.0943374709878
"b0008",979.11863078594,743.495258460202,683.066154429449,467.774530582431,983.783352004449,1269.46041036036,742.133392964925,1040.11275268108,775.501675675415,411.399648423647,689.422607093148,325.956995529344,1141.48052706048,1093.78288155183,1273.17082130825,1126.39604615176,1904.72978701135,1566.75137071499,839.018713928518,832.366385308978,1172.71519290866,1143.44027512118,1267.31717180787,1991.41888338797,663.708311450018,628.211063449269,493.351724053369,389.555932569426,1586.51127504123,966.158998684943,723.35838777573,735.93428582611,463.632075555829,336.324267708539,1281.03437700402,1600.09735425663
"b0009",31.9072320678952,23.3361698463344,23.1157865912136,24.7800317128178,65.6723709514105,64.1962789884276,30.4373344200235,31.8194470580271,55.8841049062457,24.6000632647212,28.2668246883029,33.3187384335468,45.8171749861786,38.6204490825559,49.1405501464402,40.3519609423214,71.6574592202991,44.2371517002783,50.4133330451282,58.7176115423217,49.4872100188884,29.6634421118023,63.7437998928693,89.9538848564709,42.7422756889092,47.5751663359097,39.8449039524411,39.3874564806521,83.2501623753862,68.5249835792012,28.1830301812831,33.2269414571176,15.2248997754036,24.448755250476,64.9080979434868,71.4014419292713
"b0010",42.4511180834221,41.3929421129963,31.0205429421029,33.0379648163097,75.7736831169431,73.8507975081716,64.1774054211868,35.9954948473329,35.1213591440234,42.1889086068252,100.726350548225,122.714175846769,37.5396502408056,34.0410701288408,31.5851443766586,39.3332160128973,25.086472515497,31.824171886141,26.3412279674737,34.703295371698,26.9810204326519,25.9032874779119,28.2833976688118,34.3661848835461,33.6626854797212,34.7765018987989,18.7809286395549,19.683702585359,39.7563495498653,29.7153633978053,38.7793380822565,32.4286139490344,19.2413717397005,30.3129755947324,43.8586760399828,57.9093841125158
