Geneid,p1k_01056,p1k_01057,p1k_01058,p1k_01059,p1k_01060,p1k_01061,p1k_01062,p1k_01063,p1k_01064,p1k_01065,p1k_01066,p1k_01067,p1k_01068,p1k_01069,p1k_01070,p1k_01071,p1k_01072,p1k_01073,p1k_01074,p1k_01075,p1k_01076,p1k_01077,p1k_01078,p1k_01079,p1k_01080,p1k_01081,p1k_01082,p1k_01083,p1k_01084,p1k_01085,p1k_01086,p1k_01087,p1k_01088,p1k_01089,p1k_01090,p1k_01091
b0001,10.683786813135269,10.528239790247683,11.66658304904348,11.400389637158016,9.959492768844758,10.503317021098063,9.801692495785492,11.035736912334954,12.223830495597968,11.938465162704883,12.761362853862364,12.251689790500658,10.745408790631297,10.40339253435936,9.854515380769474,10.053151379497537,12.424222405432117,12.474391369498196,12.407793289346827,12.411377808277846,12.246169220511849,12.900303661214286,12.226399629238966,12.916515588099523,9.956016961526736,11.233195413163143,10.349208202783641,11.007906661126597,13.351198601082055,12.522594565554428,12.298409567520952,12.364290945422095,12.627830598723644,12.604551405245083,12.321699819409384,11.078924487073767
b0002,9.83454620474273,10.583873857875576,10.983261244460593,11.150938300604736,4.865276752814935,3.8871146592754315,4.096085402490567,3.8753329021313756,5.151220720273152,4.305402802042883,4.959183030982486,3.8283150160341686,10.515260114312397,10.609168850948961,4.367649604727779,4.623289922284797,4.104216009856739,4.6034814428338136,4.839784950001089,5.923460747502821,4.74122644934936,6.173018603869438,5.340733565219878,7.01256848673073,6.249178689665818,8.78984875981315,6.180387886321723,7.081742652111245,7.4597513129854445,6.34258050309732,6.828999031276526,6.97803649442958,6.768885449241422,6.555131920562727,7.026085419024798,3.682998310382518
b0003,9.190043067099532,9.848554951496942,10.32588390867053,10.482196180107387,7.436880341523266,6.859423542666654,6.573601807666365,6.005025296244379,5.994224830364305,5.503790404473535,5.969231040552505,5.081002299889159,9.84007416308915,9.922125417419512,5.45669544922277,5.678206949969081,5.193884099856783,5.290810522421101,5.459184211483374,5.748820893840548,5.365081301952925,6.066575232936341,6.02967777122779,6.679529901954358,5.627869962366067,8.417202867884146,5.69404653250109,5.64468055075979,5.381977458202182,5.417138724955207,5.732090817699318,5.735584496352946,5.330726270843746,5.48125059721958,5.935114517710776,5.254793020437956
b0004,9.171481434547657,9.889128319305444,10.17180824725821,10.311522719558331,6.617656369783784,5.90417907848296,5.553668549660931,5.146008681878495,5.491876095375323,5.072024156703314,5.7957380533655485,4.8551806761889456,9.770556179810843,9.869898584181994,5.79582215146256,5.91321373310574,5.2330793984389965,5.276000134934091,5.421925156398822,5.840874075655892,5.3172651901016,5.595650755667695,5.44805989353528,6.065687759419899,5.726949551605565,8.723263845609806,5.912610523035346,5.511217756507556,5.6533584419334835,5.5432211523564145,5.969579568577466,5.7345905647747895,5.8858628293845365,5.906892085359086,6.01179658164843,5.599205815797522
b0005,5.58198512060106,6.252063164824442,6.669549067725885,6.345322694417522,5.254172333465859,3.516759241853696,4.907126151294863,3.4311696919813137,4.697102593343524,4.023469979006018,4.0992012402406965,4.157630308337982,6.217516547828208,6.336870103487913,4.93034166644713,5.108390157724528,4.626784666537052,4.06562375910912,4.174139920008506,3.8983892818384676,4.045641546857906,4.030003182648167,4.089087130370174,4.810562049257831,3.536548924021056,4.796203528742798,2.9241928394305154,3.1965563598613342,3.5218787014331756,3.0880281586679867,3.648202223694622,3.571538933304823,3.7306410935575256,3.8113114213539556,4.69883691158805,3.9634943957485165
b0006,6.269602459413879,6.479385269664979,6.209015778243139,6.3571314384947994,3.3535141187310797,3.4940686854720298,2.7776164535152605,4.074120618955705,4.162969507876285,4.082871758329279,5.148664054895274,4.581434151245944,6.34300194087552,6.2340022707575855,5.639495000515512,5.795701705791303,5.323133772128275,5.367669482700489,5.4600911984558635,5.610551879415267,5.655868437652985,5.870476145847518,5.530355124606494,5.8039933888197535,5.277639249866277,6.153882457513996,5.1806261781190095,5.282072749981397,5.2243423851326645,4.907761109905579,5.383702650545993,5.44830841403934,5.045615444575501,5.191275095829959,5.373383904205357,4.664055496500228
b0007,4.297530209257441,3.715039508571077,3.836976078498378,3.4670283007364335,3.1673748738243614,3.8292997798799604,3.250765259170408,3.1121676171988173,2.324058706876443,3.4772304728454753,2.4677448795734573,3.0755797427287086,3.7463228151925425,3.942740393961582,3.942915157075826,4.112210833992676,3.5820258494419703,3.667826880307003,3.688384122704472,3.8673723398200663,3.1154547975629647,4.027567376524461,3.7582682324401047,3.3956086071553964,4.670615340134714,3.6302623158194485,4.721010727380242,3.815277308566205,3.6971668318195454,4.794355297891158,4.419684394794297,4.210594172201358,4.462428794488424,4.193413961813961,4.026912263805918,4.560043479728427
b0008,9.865841370091221,9.750102477363363,9.888655267345081,9.899478098947487,8.429008495416772,8.105432190606834,8.408856493624508,7.947740150655563,9.010385720149587,8.481246818229021,9.216885998480269,8.242743338828564,9.725957153145812,9.729925523161116,9.397557750264166,9.334487662184541,8.955405243383689,8.959125268355946,9.253743055428112,9.196219917583226,9.656256525289711,9.239369823060136,9.168128181672815,9.708301331799966,10.228621830726084,10.25807334593573,9.743656966444922,10.397577335936049,10.139644132883324,9.389289586432811,9.885642629035148,10.214710987062777,9.505967224387014,9.853696807711259,8.992297019851621,7.7840884270694914
b0009,5.481714919424073,5.236119142530999,5.530521856988495,5.214680193739262,5.352243462922136,5.040398360248355,3.7183752212383747,4.435980805332621,4.545343630750847,4.43012092992873,5.540835767051529,4.442419952726534,5.32018185974428,5.252606650400565,5.261490898173393,5.43623650057066,4.986516746505344,5.166040580365247,4.782884202620088,4.848741486369193,4.700522923931927,4.684514721002391,4.88902440028508,4.7941114524352315,5.731812503013996,5.416636437814145,5.583069509701246,6.066265157698767,6.074969902159546,5.625783972994051,5.6015245388806205,5.771486198588425,5.699021786560895,5.626173846794371,4.913126479295834,4.726607423373744
b0010,4.556964383961214,4.898125292144148,4.317976176462616,4.257908487295059,3.49133319145479,3.639745762895003,3.7669228413366045,4.364616868609119,4.349432657646384,4.445326868959285,4.484324465203255,4.780008622496038,4.986394639786768,4.675777390598815,4.143559271095138,4.496135113787719,4.501491678480355,4.579470138087726,4.759286728702533,4.456189372699705,4.889294524823903,4.891916183725592,5.52926560880888,4.610014175815062,3.9879008011007224,4.63716279957749,4.149176471653656,4.458387224671372,4.809534973897399,4.335511265940982,4.823591805603918,5.2774994206975006,5.641607965665107,5.6002309861161015,6.0865658987936095,6.249575071826511
