Sample,Replicate,project_name,condition_name
GlcM9_N_12h_Rep1,1,StationaryiM,N_12h
GlcM9_N_12h_Rep2,2,StationaryiM,N_12h
GlcM9_12h_Rep1,1,StationaryiM,12h
GlcM9_12h_Rep2,2,StationaryiM,12h
GlcM9_S_12h_Rep1,1,StationaryiM,S_12h
GlcM9_S_12h_Rep2,2,StationaryiM,S_12h
GlcM9_N_24h_Rep1,1,StationaryiM,N_24h
GlcM9_N_24h_Rep2,2,StationaryiM,N_24h
GlcM9_24h_Rep1,1,StationaryiM,24h
GlcM9_24h_Rep2,2,StationaryiM,24h
GlcM9_S_24h_Rep1,1,StationaryiM,S_24h
GlcM9_S_24h_Rep2,2,StationaryiM,S_24h
GlcM9_N_3h_Rep1,1,StationaryiM,N_3h
GlcM9_N_3h_Rep2,2,StationaryiM,N_3h
GlcM9_3h_Rep1,1,StationaryiM,3h
GlcM9_3h_Rep2,2,StationaryiM,3h
GlcM9_S_3h_Rep1,1,StationaryiM,S_3h
GlcM9_S_3h_Rep2,2,StationaryiM,S_3h
GlcM9_N_4h_Rep1,1,StationaryiM,N_4h
GlcM9_N_4h_Rep2,2,StationaryiM,N_4h
GlcM9_4h_Rep1,1,StationaryiM,4h
GlcM9_4h_Rep2,2,StationaryiM,4h
GlcM9_S_4h_Rep1,1,StationaryiM,S_4h
GlcM9_S_4h_Rep2,2,StationaryiM,S_4h
GlcM9_N_5h_Rep1,1,StationaryiM,N_5h
GlcM9_N_5h_Rep2,2,StationaryiM,N_5h
GlcM9_5h_Rep1,1,StationaryiM,5h
GlcM9_5h_Rep2,2,StationaryiM,5h
GlcM9_S_5h_Rep1,1,StationaryiM,S_5h
GlcM9_S_5h_Rep2,2,StationaryiM,S_5h
GlcM9_N_8h_Rep1,1,StationaryiM,N_8h
GlcM9_N_8h_Rep2,2,StationaryiM,N_8h
GlcM9_8h_Rep1,1,StationaryiM,8h
GlcM9_8h_Rep2,2,StationaryiM,8h
GlcM9_S_8h_Rep1,1,StationaryiM,S_8h
GlcM9_S_8h_Rep2,2,StationaryiM,S_8h
