locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
b0001,thrL,NC_000913.3,,190,255,+,thr operon leader peptide,No COG annotation,P0AD86,Op0
b0002,thrA,NC_000913.3,,337,2799,+,fused aspartate kinase/homoserine dehydrogenase 1,Amino acid transport and metabolism,P00561,Op0
b0003,thrB,NC_000913.3,,2801,3733,+,homoserine kinase,Nucleotide transport and metabolism,P00547,Op0
b0004,thrC,NC_000913.3,,3734,5020,+,threonine synthase,Amino acid transport and metabolism,P00934,Op0
b0005,yaaX,NC_000913.3,,5234,5530,+,DUF2502 domain-containing protein YaaX,Function unknown,P75616,Op1
b0006,yaaA,NC_000913.3,,5683,6459,-,peroxide stress resistance protein YaaA,Function unknown,P0A8I3,Op2
b0007,yaaJ,NC_000913.3,,6529,7959,-,putative transporter YaaJ,Amino acid transport and metabolism,P30143,Op3
b0008,talB,NC_000913.3,,8238,9191,+,transaldolase B,Carbohydrate transport and metabolism,P0A870,Op4
b0009,mog,NC_000913.3,,9306,9893,+,molybdopterin adenylyltransferase,Nucleotide transport and metabolism,P0AF03,Op5
b0010,satP,NC_000913.3,,9928,10494,-,acetate/succinate:H(+) symporter,Function unknown,P0AC98,Op6
b0011,yaaW,NC_000913.3,,10643,11356,-,putative enzyme-specific chaperone YaaW,Function unknown,P75617,Op7
b0012,mbiA,NC_000913.3,,10830,11315,+,uncharacterized protein MbiA,No COG annotation,UPI000016F239,Op8
b0013,yaaI,NC_000913.3,,11382,11786,-,DUF2541 domain-containing protein YaaI,Function unknown,P28696,Op9
b0014,dnaK,NC_000913.3,,12163,14079,+,chaperone protein DnaK,"Post-translational modification, protein turnover, and chaperones",P0A6Y8,Op10
b0015,dnaJ,NC_000913.3,,14168,15298,+,chaperone protein DnaJ,"Post-translational modification, protein turnover, and chaperones",P08622,Op10
b0016,insL1,NC_000913.3,,15445,16557,+,IS186/IS421 transposase,"Replication, recombination and repair",P0CF91,Op11
b0018,mokC,NC_000913.3,,16751,16960,-,regulatory protein MokC,Function unknown,P33236,Op12
b4412,hokC,NC_000913.3,,16751,16903,-,protein HokC,Function unknown,P0ACG4,Op12
b0019,nhaA,NC_000913.3,,17489,18655,+,Na(+):H(+) antiporter NhaA,Inorganic ion transport and metabolism,P13738,Op13
b0020,nhaR,NC_000913.3,,18715,19620,+,DNA-binding transcriptional activator NhaR,Transcription,P0A9G2,Op13
b0021,insB1,NC_000913.3,,19811,20314,-,IS1 protein InsB,"Replication, recombination and repair",A0A385XJL4,Op14
b0022,insA1,NC_000913.3,,20233,20508,-,IS1 protein InsA,"Replication, recombination and repair",A0A385XJ53,Op14
b0023,rpsT,NC_000913.3,,20815,21078,-,30S ribosomal subunit protein S20,"Translation, ribosomal structure and biogenesis",P0A7U7,Op15
b0024,yaaY,NC_000913.3,,21181,21399,+,DUF2575 domain-containing protein YaaY,Function unknown,P75620,Op16
b0025,ribF,NC_000913.3,,21407,22348,+,bifunctional riboflavin kinase/FMN adenylyltransferase,Coenzyme transport and metabolism,P0AG40,Op17
b0026,ileS,NC_000913.3,,22391,25207,+,isoleucine--tRNA ligase,"Translation, ribosomal structure and biogenesis",P00956,Op17
b0027,lspA,NC_000913.3,,25207,25701,+,lipoprotein signal peptidase,Cell wall/membrane/envelope biogenesis,P00804,Op17
b0028,fkpB,NC_000913.3,,25826,26275,+,peptidyl-prolyl cis-trans isomerase FkpB,"Post-translational modification, protein turnover, and chaperones",P0AEM0,Op17
b0029,ispH,NC_000913.3,,26277,27227,+,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,Lipid transport and metabolism,P62623,Op17
